,explanation,type,word
42,"bowl-shaped vessel, usually used for holding food or liquids",n. ,basin
43,"wash by immersion, as in a bath; subject to bath; lave; immerse or cover one's self",v. Syn. lave; immerse,bathe
44,beat with successive blows; beat repeatedly and with violence,v. ,batter
45,beating or pounding; set of guns or heavy artillery; dry cell that produces electric current,n. ,battery
46,"inlet of the sea, usually smaller than a gulf; small body of water set off from the main body",n. ,bay
47,"market consisting of a street lined with shops and stalls, especially one in the Middle East",n. ,bazaar
48,"small piece of material, such as glass, plastic, or wood, that is pierced for stringing",n. Syn. pearl; drops; droplet,bead
49,nib ;horny projecting mouth of a bird,n. Syn. nib,beak
50,"ray of light; long piece of metal or wood; long piece fixed or movable in structure, machine, or tool",n. Syn. rafter; brace,beam
51,"various edible seeds; small oval or roundish seed, berry, nut, or lump",n. ,bean
52,support; sustain; carry; have; yield; give birth; hold up or support,v. Syn. support; sustain,bear
53,carrying another part; patient endurance; suffering without complaint; act of producing or giving birth,n. ,bearing
54,whip; strike; defeat; hit repeatedly,v. Syn. whip; strike; defeat,beat
55,"suit or be suitable to; be worthy of, or proper for; cause to appear well; grow or come to be",v. ,become
56,in state of anticipation; in advance; by way of preparation,ad. Syn. previously; aforetime,beforehand
57,"represent;  advantage, benefit, interest of someone",n. Syn. represent,behalf
58,perform; conduct oneself in a proper way,v. Syn. perform; behave oneself,behave
59,conduct; manner,n. Syn. conduct; manner,behavior
60,"part of human body which extends downward from breast to thighs, and contains bowels; womb",n. ,belly
61,greatly loved; dear to the heart,a. ,beloved
62,"under, or lower in place; beneath not so high; inferior to in rank; unworthy of",ad. Syn. beneath; under,below
63,strain or move out of a straight line; curve; turn toward some certain point,v. ,bend
64,"lower in place, with something directly over or on; under; underneath; below",ad. Syn. below; under,beneath
65,helpful; tending to promote physical well-being,a. Syn. helpful; useful,beneficial
66,person entitled to benefits or proceeds of an insurance policy or will,n. ,beneficiary
67,advantage; something that aids or promotes well-being ; welfare; gain,n. Syn. welfare; gain,benefit
68,generous in providing aid to others; charitable,a. Syn. generous; charitable,benevolent
69,determined to do or have,a. ,bent
70,over and above; separate or distinct from; in addition to; other than,ad. ,besides
71,give as gift; present,v. Syn. present,bestow
72,stake or pledge upon the event of a contingent issue; amount or object risked in a wager,n. ,bet
73,be unfaithful; reveal unconsciously or unwillingly,v. Syn. reveal,betray
74,"liquids for drinking, usually excluding water; refreshment",n. Syn. refreshment,beverage
75,lead into perplexity or confusion; perplex with mazes,v. Syn. confuse,bewilder
76,"preference or inclination, especially one that inhibits impartial judgment;  influence in unfair way",n. Syn. prejudice; preference,bias
77,"make an offer of; propose; offer in words; declare, as a wish, a greeting, a threat, or defiance",v. ,bid
78,"invoice; act; proposal; statement or list of particulars, such as a theater program or menu",n. Syn. invoice,bill
79,the number that is represented as a one followed by 9 zeros,n. ,billion
80,"tie, or confine with a cord, band, or chain; make fast; contract; cohere or stick together",v. Syn. contract; cohere; stick,bind
81,one who writes a book about somebody's life,n. ,biographer
82,an account of the series of events making up a person's life;  accounts of people's life,n. ,biography
83,scientist who studies living organisms,n. ,biologist
84,pierce skin with teeth; seize with the teeth; sting with a stinger; eat into; have a sharp taste,v. ,bite
85,harsh or corrosive in tone; painful; acrid; acrimonious,a. Syn. painful; acrid; acrimonious,bitter
86,sharp and bitter manner,n. ,bitterness
87,one who forges and shapes iron with a hammer and anvil,n. ,blacksmith
88,"flat part of the leaf, of any plant, especially of gramineous plants; cutting part of an instrument",n. ,blade
89,condemn; rebuke; find fault with; censure,v. Syn. condemn; rebuke,blame
90,of a white or pale color; without color; empty; void,a. ,blank
91,"heavy, loosely woven fabric, usually of wool, and having a nap, used in bed clothing",n. ,blanket
92,explode; burst; gale; very strong gust of wind or air,n. Syn. explode; burst,blast
93,brilliant burst of fire; destructive fire; flame,n. Syn. flame,blaze
94,make white or colorless; blanch,v. Syn. whiten; blanch,bleach
95,emit blood; lose blood; withdraw blood from the body,v. ,bleed
96,combination; mixture; forming uniform mixture,n. Syn. combination; mixture,blend
97,make or pronounce holy; consecrate; make happy,v. ,bless
98,praying for divine protection; formal act of giving approval,n. Syn. boon; benediction,blessing
99,shut eyes briefly; wink,v. Syn. wink,blink
100,hinder; obstruct;  indicate broadly without great detail; sketch,v. Syn. chunk,block
101,flower; blossom; best time of youth; period of greatest prosperity or productivity,n. Syn. flower; blossom,bloom
102,"reproductive organ of plants, especially one having showy or colorful parts",n. ,blossom
103,"spot or stain, as of ink on paper; blur; weak point or failing",n. ,blot
104,serious mistake typically caused by ignorance or confusion,n. Syn. error,blunder
105,having a dull edge or end; not sharp; lacking in feeling; insensitive,a. Syn. insensitive,blunt
106,"become rosy or reddish;  turn red, as if in embarrassment or shame",v. ,blush
107,a committee having supervisory powers; a flat piece of material designed for a special purpose,n. Syn. lumber; plank,board
108,wooden boards collectively; act of entering a ship; supplying with meals and lodgings for pay,n. ,boarding
109,show off oneself;  speak of with excessive pride,v. Syn. brag; vaunt,boast
110,guard to protect or defend person; lifeguard,n. ,bodyguard
111,be agitated; pass from a liquid to vapor when heated; be  excited with passion; heat in water,v. ,boil
112,brave; daring; intrepid; impudent,a. Syn. brave; daring; intrepid; impudent,bold
113,dash or dart off; move or jump suddenly,v. Syn. dash,bolt
114,link; connection; uniting force or tie; binding agreement; duty,n. Syn. link; tie; connection,bond
115,an extra dividend to the shareholders; money paid in addition to a stated compensation,n. ,bonus
116,"case with shelves for holding books, especially one with glazed doors",n. ,bookcase
117,bonanza; prosperity; prosper; expand; flourish,n. Syn. bonanza; prosperity,boom
118,deep and resonant; flourishing; thriving,a. ,booming
119,raise; advance; push or shove upward,v. Syn. raise; advance,boost
120,house or shed built for temporary occupation; covered stall or temporary structure,n. ,booth
121,"outer part or edge of anything, as of a garment, a garden; margin; verge; brink; boundary",n. ,border
122,"drill; make a hole in or through, with or as if with a drill",v. Syn. drill,bore
123,uninteresting and tiresome; dull,a. Syn. tiresome; tedious,boring
124,annoy; trouble; make agitated or nervous; fluster,v. Syn. disturb; puzzle,bother
125,jolt; rebound after having struck an object or a surface,v. Syn. jolt; rebound,bounce
126,tied; held; committed; limit; constraint; leap; jump,n. Syn. limit; constraint,bound
127,dividing line; border; frontier,n. Syn. border; frontier,boundary
128,middle class; selfishly materialistic; dully conventional,a. ,bourgeois
129,"inclination of head, or bending of body for reverence, respect, civility, or submission; bending or rounded part of ship forward",n. ,bow
130,"throw or roll a ball; move quickly and smoothly, especially by rolling",v. ,bowl
131,refrain from buying or using,v. ,boycott
132,"something which holds anything tightly or supports it firmly, as bandage, cord, or rod;",n. ,brace
133,organ or seat of intellect; understanding or imagination,n. Syn. intelligence; intellect,brain
134,a piece of mechanism for retarding or stopping motion by friction,n. ,brake
135,burning piece of wood; mark made by burning with a hot iron; distinctive mark upon in any way,n. ,brand
136,breaking of contract or duty,n. Syn. violation; infringement,breach
137,measure or dimension from side to side; width; extent,n. Syn. width; extent,breadth
138,"opportunity to do something; pause or interval, as from work; sudden change",n. ,break
139,process of failing to function or continue; sudden collapse in physical or mental health; summary of itemized data,n. ,breakdown
140,act of overcoming or penetrating an obstacle or restriction,n. ,breakthrough
141,air that is inhaled and exhaled in respiration,n. ,breath
142,respire; inhale and exhale air,v. Syn. respire,breathe
143,raise; produce offspring; give birth to or hatch; mate,v. Syn. raise; hatch; mate,breed
144,light current of air; gentle wind; progress swiftly and effortlessly,n. Syn. light wind,breeze
